{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
20,Gradual,0,10,19 / 20,"1,37","0,78","1,44e-03","1,00","1,00","1,00","-5,29","3,74","-5,61",,"3,09","3,65",,
20,Gradual,0,10,FINAL,"1,36","0,77","1,47e-03","1,00","1,00","1,00","-5,31","3,7","-5,69","10,66","3,07","3,63","47,61","28,77"
20,Gradual,10,10,INITIAL,"9,91","15,90","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,45","10,02","11,10",,
20,Gradual,10,10,1 / 20,"2,22","1,16","1,03e-01","1,00","1,00","1,00","-6,81","1,35","-7,04",,"8,21","10,43",,
20,Gradual,10,10,2 / 20,"1,21","0,77","1,40e-01","1,00","1,00","1,00","-5,81","0,43","-8,07",,"8,52","10,83",,
20,Gradual,10,10,3 / 20,"1,22","0,73","1,38e-01","1,00","1,00","1,00","-7,14","-0,31","-8,65",,"8,92","11,28",,
20,Gradual,10,10,4 / 20,"1,20","0,74","1,41e-01","1,00","1,00","1,00","-6,81","-1,02","-9,47",,"9,23","11,62",,
20,Gradual,10,10,5 / 20,"1,32","0,82","1,30e-01","1,00","1,00","1,00","-8,05","-2,36","-10,48",,"9,69","12,06",,
20,Gradual,10,10,6 / 20,"1,34","0,83","1,35e-01","1,00","1,00","1,00","-9,46","-4,19","-12,43",,"10,32","12,73",,
20,Gradual,10,10,7 / 20,"1,43","0,90","1,23e-01","1,00","1,00","1,00","-10,93","-5,98","-13,99",,"10,92","13,40",,
20,Gradual,10,10,8 / 20,"1,35","0,85","1,26e-01","1,00","1,00","1,00","-10,86","-6,32","-14,46",,"11,11","13,58",,
20,Gradual,10,10,9 / 20,"1,45","0,89","1,23e-01","1,00","1,00","1,00","-11,57","-6,82","-14,78",,"11,25","13,72",,
20,Gradual,10,10,10 / 20,"1,36","0,85","1,22e-01","1,00","1,00","1,00","-12,33","-7,36","-15,52",,"11,56","14,07",,
20,Gradual,10,10,11 / 20,"1,46","0,90","1,17e-01","1,00","1,00","1,00","-12,21","-7,65","-15,8",,"11,68","14,21",,
20,Gradual,10,10,12 / 20,"1,47","0,92","1,18e-01","1,00","0,99","1,00","-12,92","-7,91","-16,1",,"11,80","14,34",,
20,Gradual,10,10,13 / 20,"1,60","0,99","1,13e-01","1,00","0,99","1,00","-13,19","-8,48","-16,6",,"12,04","14,61",,
20,Gradual,10,10,14 / 20,"1,46","0,89","1,17e-01","1,00","0,99","1,00","-14,33","-9,4","-17,63",,"12,56","15,19",,
20,Gradual,10,10,15 / 20,"1,43","0,86","1,17e-01","1,00","0,99","1,00","-14,24","-9,76","-17,9",,"12,66","15,31",,
20,Gradual,10,10,16 / 20,"1,40","0,85","1,19e-01","1,00","0,99","1,00","-15,52","-10,21","-18,68",,"13,09","15,82",,
20,Gradual,10,10,17 / 20,"1,50","0,91","1,16e-01","1,00","0,99","1,00","-15,41","-10,57","-18,84",,"13,20","15,95",,
20,Gradual,10,10,18 / 20,"1,49","0,91","1,17e-01","1,00","0,99","1,00","-16,03","-10,6","-18,98",,"13,31","16,08",,
20,Gradual,10,10,19 / 20,"1,40","0,84","1,17e-01","1,00","0,99","1,00","-16,0","-10,86","-19,17",,"13,41","16,21",,
20,Gradual,10,10,FINAL,"1,39","0,84","1,17e-01","1,00","0,99","1,00","-16,91","-11,09","-19,64","19,45","13,76","16,63","-37,43","70,76"
20,Planar,"2,5",0,INITIAL,"1,64","1,60","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,97","3,31","3,89",,
20,Planar,"2,5",0,1 / 20,"0,98","1,03","1,31e-03","1,00","1,00","1,00","-0,06","0,27","0,0",,"3,13","3,78",,
20,Planar,"2,5",0,2 / 20,"0,98","1,04","1,32e-03","1,00","1,00","1,00","-0,09","0,35","-0,0",,"3,13","3,78",,
20,Planar,"2,5",0,3 / 20,"0,97","1,03","1,35e-03","1,00","1,00","1,00","-0,1","0,47","-0,01",,"3,13","3,78",,
20,Planar,"2,5",0,4 / 20,"0,97","1,03","1,37e-03","1,00","1,00","1,00","-0,09","0,52","-0,01",,"3,14","3,79",,
20,Planar,"2,5",0,5 / 20,"0,97","1,03","1,39e-03","1,00","1,00","1,00","-0,13","0,62","-0,01",,"3,14","3,79",,
20,Planar,"2,5",0,6 / 20,"0,97","1,03","1,41e-03","1,00","1,00","1,00","-0,14","0,71","-0,02",,"3,14","3,79",,
20,Planar,"2,5",0,7 / 20,"0,97","1,03","1,43e-03","1,00","1,00","1,00","-0,17","0,79","-0,01",,"3,14","3,80",,
20,Planar,"2,5",0,8 / 20,"0,97","1,03","1,44e-03","1,00","1,00","1,00","-0,19","0,86","-0,01",,"3,15","3,80",,
20,Planar,"2,5",0,9 / 20,"0,97","1,03","1,45e-03","1,00","1,00","1,00","-0,21","0,95","-0,01",,"3,15","3,80",,
20,Planar,"2,5",0,10 / 20,"0,97","1,03","1,46e-03","1,00","1,00","1,00","-0,23","1,04","-0,0",,"3,15","3,81",,
20,Planar,"2,5",0,11 / 20,"0,97","1,03","1,47e-03","1,00","1,00","1,00","-0,26","1,13","0,01",,"3,15","3,81",,
20,Planar,"2,5",0,12 / 20,"0,97","1,03","1,47e-03","1,00","1,00","1,00","-0,29","1,22","0,02",,"3,15","3,81",,
20,Planar,"2,5",0,13 / 20,"0,97","1,03","1,48e-03","1,00","1,00","1,00","-0,31","1,27","0,03",,"3,16","3,82",,
20,Planar,"2,5",0,14 / 20,"0,97","1,03","1,48e-03","1,00","1,00","1,00","-0,33","1,32","0,03",,"3,16","3,82",,
20,Planar,"2,5",0,15 / 20,"0,97","1,03","1,49e-03","1,00","1,00","1,00","-0,34","1,37","0,04",,"3,16","3,82",,
20,Planar,"2,5",0,16 / 20,"0,97","1,03","1,49e-03","1,00","1,00","1,00","-0,36","1,43","0,05",,"3,16","3,82",,
20,Planar,"2,5",0,17 / 20,"0,96","1,01","1,58e-03","1,00","1,00","1,00","-0,36","1,46","0,06",,"3,16","3,82",,
20,Planar,"2,5",0,18 / 20,"0,96","1,02","1,58e-03","1,00","1,00","1,00","-0,37","1,5","0,06",,"3,16","3,82",,
20,Planar,"2,5",0,19 / 20,"0,97","1,03","1,51e-03","1,00","1,00","1,00","-0,39","1,55","0,07",,"3,16","3,83",,
20,Planar,"2,5",0,FINAL,"0,97","1,03","1,51e-03","1,00","1,00","1,00","-0,41","1,58","0,08","3,97","3,16","3,83","4,50","79,58"
20,Planar,0,"2,5",INITIAL,"0,93","0,94","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,61","1,79",,
20,Planar,0,"2,5",1 / 20,"0,52","0,59","1,24e-05","1,00","1,00","1,00","-0,04","0,68","-0,04",,"1,48","1,68",,
20,Planar,0,"2,5",2 / 20,"0,48","0,55","1,07e-05","1,00","1,00","1,00","-0,12","0,77","-0,04",,"1,46","1,66",,
20,Planar,0,"2,5",3 / 20,"0,44","0,51","1,24e-05","1,00","1,00","1,00","-0,09","0,87","-0,05",,"1,45","1,65",,
20,Planar,0,"2,5",4 / 20,"0,42","0,49","1,07e-05","1,00","1,00","1,00","-0,13","0,92","-0,06",,"1,45","1,65",,
20,Planar,0,"2,5",5 / 20,"0,41","0,47","1,18e-05","1,00","1,00","1,00","-0,11","0,98","-0,07",,"1,44","1,64",,
20,Planar,0,"2,5",6 / 20,"0,39","0,45","1,08e-05","1,00","1,00","1,00","-0,15","1,05","-0,08",,"1,43","1,63",,
20,Planar,0,"2,5",7 / 20,"0,39","0,45","1,07e-05","1,00","1,00","1,00","-0,15","1,07","-0,09",,"1,43","1,63",,
20,Planar,0,"2,5",8 / 20,"0,39","0,44","1,06e-05","1,00","1,00","1,00","-0,16","1,11","-0,1",,"1,43","1,62",,
20,Planar,0,"2,5",9 / 20,"0,38","0,43","1,07e-05","1,00","1,00","1,00","-0,18","1,13","-0,12",,"1,42","1,62",,
20,Planar,0,"2,5",10 / 20,"0,38","0,43","1,08e-05","1,00","1,00","1,00","-0,18","1,14","-0,13",,"1,42","1,61",,
20,Planar,0,"2,5",11 / 20,"0,38","0,42","1,08e-05","1,00","1,00","1,00","-0,18","1,15","-0,14",,"1,41","1,61",,
20,Planar,0,"2,5",12 / 20,"0,38","0,42","1,10e-05","1,00","1,00","1,00","-0,19","1,16","-0,17",,"1,41","1,60",,
20,Planar,0,"2,5",13 / 20,"0,38","0,42","1,10e-05","1,00","1,00","1,00","-0,2","1,16","-0,17",,"1,40","1,60",,
20,Planar,0,"2,5",14 / 20,"0,38","0,42","1,11e-05","1,00","1,00","1,00","-0,2","1,16","-0,18",,"1,40","1,60",,
20,Planar,0,"2,5",FINAL,"0,38","0,42","1,11e-05","1,00","1,00","1,00","-0,2","1,16","-0,18","2,50","1,40","1,60","12,85","56,10"
20,Planar,"2,5","2,5",INITIAL,"1,95","2,00","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,94","3,84","4,44",,
20,Planar,"2,5","2,5",1 / 20,"0,97","1,00","1,71e-03","1,00","1,00","1,00","-0,23","1,47","-0,21",,"3,53","4,21",,
20,Planar,"2,5","2,5",2 / 20,"1,00","1,02","1,74e-03","1,00","1,00","1,00","-0,33","1,46","-0,37",,"3,51","4,18",,
20,Planar,"2,5","2,5",3 / 20,"0,98","1,01","1,66e-03","1,00","1,00","1,00","-0,41","1,45","-0,49",,"3,50","4,16",,
20,Planar,"2,5","2,5",4 / 20,"0,98","1,00","1,69e-03","1,00","1,00","1,00","-0,4","1,45","-0,53",,"3,49","4,15",,
20,Planar,"2,5","2,5",5 / 20,"1,01","1,03","1,90e-03","1,00","1,00","1,00","-0,57","1,48","-0,72",,"3,46","4,11",,
20,Planar,"2,5","2,5",6 / 20,"0,99","1,01","1,71e-03","1,00","1,00","1,00","-0,54","1,48","-0,8",,"3,46","4,11",,
20,Planar,"2,5","2,5",7 / 20,"1,00","1,01","1,68e-03","1,00","1,00","1,00","-0,58","1,49","-0,81",,"3,46","4,10",,
20,Planar,"2,5","2,5",8 / 20,"1,00","1,01","1,67e-03","1,00","1,00","1,00","-0,6","1,49","-0,85",,"3,46","4,10",,
20,Planar,"2,5","2,5",9 / 20,"1,00","1,01","1,68e-03","1,00","1,00","1,00","-0,59","1,5","-0,88",,"3,45","4,10",,
20,Planar,"2,5","2,5",10 / 20,"1,00","1,01","1,69e-03","1,00","1,00","1,00","-0,62","1,5","-0,9",,"3,45","4,09",,
20,Planar,"2,5","2,5",11 / 20,"1,00","1,02","1,84e-03","1,00","1,00","1,00","-0,27","1,55","-0,97",,"3,45","4,09",,
20,Planar,"2,5","2,5",12 / 20,"0,99","1,00","1,74e-03","1,00","1,00","1,00","-0,63","1,52","-0,94",,"3,45","4,09",,
20,Planar,"2,5","2,5",13 / 20,"1,00","1,01","1,68e-03","1,00","1,00","1,00","-0,66","1,51","-0,96",,"3,45","4,08",,
20,Planar,"2,5","2,5",14 / 20,"0,98","1,00","1,74e-03","1,00","1,00","1,00","-0,66","1,53","-0,99",,"3,44","4,08",,
20,Planar,"2,5","2,5",15 / 20,"1,00","1,01","1,69e-03","1,00","1,00","1,00","-0,67","1,53","-1,02",,"3,44","4,08",,
20,Planar,"2,5","2,5",16 / 20,"1,00","1,01","1,68e-03","1,00","1,00","1,00","-0,68","1,54","-1,04",,"3,44","4,07",,
20,Planar,"2,5","2,5",17 / 20,"1,00","1,01","1,69e-03","1,00","1,00","1,00","-0,7","1,54","-1,05",,"3,43","4,07",,
20,Planar,"2,5","2,5",18 / 20,"1,00","1,01","1,68e-03","1,00","1,00","1,00","-0,69","1,55","-1,08",,"3,43","4,07",,
20,Planar,"2,5","2,5",19 / 20,"1,00","1,01","1,69e-03","1,00","1,00","1,00","-0,72","1,55","-1,09",,"3,43","4,06",,
20,Planar,"2,5","2,5",FINAL,"1,00","1,01","1,68e-03","1,00","1,00","1,00","-0,71","1,56","-1,12","4,94","3,43","4,06","10,73","69,38"
20,Planar,10,0,INITIAL,"5,77","6,09","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,27","13,64","16,73",,
20,Planar,10,0,1 / 20,"2,00","2,49","4,72e-02","1,00","1,00","1,00","-0,74","1,19","-0,56",,"12,69","16,12",,
20,Planar,10,0,2 / 20,"0,98","1,06","9,24e-02","1,00","1,00","1,00","-0,61","0,9","-1,29",,"12,63","16,17",,
20,Planar,10,0,3 / 20,"0,78","1,15","1,06e-01","1,00","1,00","1,00","-2,04","0,22","-1,84",,"12,70","16,32",,
20,Planar,10,0,4 / 20,"0,89","1,10","1,02e-01","1,00","1,00","1,00","-1,9","-0,35","-2,33",,"12,84","16,42",,
20,Planar,10,0,5 / 20,"0,91","1,11","1,02e-01","1,00","1,00","1,00","-2,1","-0,87","-2,74",,"12,93","16,52",,
20,Planar,10,0,6 / 20,"0,92","1,10","1,03e-01","1,00","1,00","1,00","-2,64","-1,55","-3,27",,"13,04","16,58",,
20,Planar,10,0,7 / 20,"0,92","1,12","1,02e-01","1,00","1,00","1,00","-2,83","-2,11","-3,79",,"13,13","16,70",,
20,Planar,10,0,8 / 20,"0,93","1,11","1,03e-01","1,00","1,00","1,00","-3,35","-2,58","-4,2",,"13,21","16,75",,
20,Planar,10,0,9 / 20,"0,90","1,09","1,02e-01","1,00","1,00","1,00","-3,68","-3,0","-4,51",,"13,26","16,83",,
20,Planar,10,0,10 / 20,"0,92","1,09","1,03e-01","1,00","1,00","1,00","-3,85","-3,61","-4,98",,"13,38","16,93",,
20,Planar,10,0,11 / 20,"0,90","1,08","1,03e-01","1,00","1,00","1,00","-4,37","-3,94","-5,32",,"13,43","17,01",,
20,Planar,10,0,12 / 20,"0,91","1,07","1,03e-01","1,00","1,00","1,00","-4,53","-4,46","-5,65",,"13,52","17,10",,
20,Planar,10,0,13 / 20,"0,92","1,10","1,02e-01","1,00","1,00","1,00","-5,18","-4,98","-6,27",,"13,62","17,23",,
20,Planar,10,0,14 / 20,"0,91","1,06","1,04e-01","1,00","1,00","1,00","-5,28","-5,23","-6,32",,"13,71","17,31",,
20,Planar,10,0,15 / 20,"0,90","1,07","9,90e-02","1,00","1,00","1,00","-5,65","-5,46","-6,49",,"13,78","17,39",,
20,Planar,10,0,16 / 20,"0,90","1,05","1,03e-01","1,00","1,00","1,00","-6,02","-5,74","-6,77",,"13,87","17,47",,
20,Planar,10,0,17 / 20,"0,90","1,06","1,00e-01","1,00","1,00","1,00","-6,33","-5,95","-6,94",,"13,93","17,55",,
20,Planar,10,0,18 / 20,"0,92","1,07","1,02e-01","1,00","1,00","1,00","-6,38","-6,08","-7,14",,"14,01","17,62",,
20,Planar,10,0,19 / 20,"0,90","1,06","9,87e-02","1,00","1,00","1,00","-6,74","-6,31","-7,3",,"14,11","17,73",,
20,Planar,10,0,FINAL,"0,91","1,06","1,02e-01","1,00","1,00","1,00","-7,03","-6,5","-7,65","15,27","14,25","17,86","-4,50","93,31"
20,Planar,0,10,INITIAL,"3,22","3,36","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,77","6,37",,
20,Planar,0,10,1 / 20,"1,09","0,93","1,84e-04","1,00","1,00","1,00","-0,03","3,25","-0,49",,"5,00","5,80",,
20,Planar,0,10,2 / 20,"1,02","0,82","1,58e-04","1,00","1,00","1,00","-0,26","3,59","-0,54",,"4,92","5,72",,
20,Planar,0,10,3 / 20,"0,93","0,70","1,79e-04","1,00","1,00","1,00","-0,22","3,81","-0,75",,"4,84","5,63",,
20,Planar,0,10,4 / 20,"0,89","0,64","1,84e-04","1,00","1,00","1,00","-0,31","3,94","-0,87",,"4,77","5,56",,
20,Planar,0,10,5 / 20,"0,85","0,60","1,89e-04","1,00","1,00","1,00","-0,27","4,01","-1,07",,"4,69","5,48",,
20,Planar,0,10,6 / 20,"0,83","0,57","1,91e-04","1,00","1,00","1,00","-0,33","4,07","-1,19",,"4,62","5,40",,
20,Planar,0,10,7 / 20,"0,80","0,55","1,95e-04","1,00","1,00","1,00","-0,35","4,1","-1,32",,"4,56","5,34",,
20,Planar,0,10,8 / 20,"0,93","0,63","1,30e-04","1,00","1,00","1,00","-0,36","4,13","-1,42",,"4,50","5,27",,
20,Planar,0,10,9 / 20,"0,98","0,67","1,05e-04","1,00","1,00","1,00","-0,36","4,14","-1,48",,"4,46","5,23",,
20,Planar,0,10,10 / 20,"0,97","0,64","1,08e-04","1,00","1,00","1,00","-0,37","4,15","-1,56",,"4,43","5,20",,
20,Planar,0,10,11 / 20,"0,99","0,65","9,85e-05","1,00","1,00","1,00","-0,38","4,16","-1,61",,"4,40","5,17",,
20,Planar,0,10,12 / 20,"1,04","0,70","8,10e-05","1,00","1,00","1,00","-0,38","4,16","-1,64",,"4,38","5,14",,
20,Planar,0,10,13 / 20,"1,15","0,78","5,63e-05","1,00","1,00","1,00","-0,38","4,18","-1,69",,"4,35","5,11",,
20,Planar,0,10,14 / 20,"1,19","0,82","4,99e-05","1,00","1,00","1,00","-0,37","4,18","-1,7",,"4,34","5,10",,
20,Planar,0,10,15 / 20,"1,19","0,80","4,98e-05","1,00","1,00","1,00","-0,38","4,18","-1,73",,"4,33","5,09",,
20,Planar,0,10,16 / 20,"1,19","0,80","4,97e-05","1,00","1,00","1,00","-0,38","4,17","-1,74",,"4,33","5,08",,
20,Planar,0,10,17 / 20,"1,19","0,79","5,00e-05","1,00","1,00","1,00","-0,38","4,17","-1,77",,"4,32","5,07",,
20,Planar,0,10,18 / 20,"1,15","0,74","5,50e-05","1,00","1,00","1,00","-0,39","4,17","-1,81",,"4,30","5,05",,
20,Planar,0,10,19 / 20,"1,18","0,78","5,04e-05","1,00","1,00","1,00","-0,39","4,18","-1,82",,"4,29","5,04",,
20,Planar,0,10,FINAL,"1,18","0,78","5,02e-05","1,00","1,00","1,00","-0,39","4,18","-1,83","10,00","4,29","5,04","25,73","42,86"
20,Planar,10,10,INITIAL,"6,93","6,89","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","18,60","15,61","18,65",,
20,Planar,10,10,1 / 20,"2,56","2,81","4,10e-02","1,00","1,00","1,00","-1,27","3,7","-1,04",,"14,31","17,82",,
20,Planar,10,10,2 / 20,"1,06","0,95","1,02e-01","1,00","1,00","1,00","-1,74","3,43","-1,5",,"14,14","17,73",,
20,Planar,10,10,3 / 20,"0,96","1,05","9,76e-02","1,00","1,00","1,00","-2,9","3,39","-2,38",,"14,18","17,70",,
20,Planar,10,10,4 / 20,"0,96","1,05","9,65e-02","1,00","1,00","1,00","-2,83","3,46","-2,85",,"14,18","17,66",,
20,Planar,10,10,5 / 20,"0,96","1,00","1,01e-01","1,00","1,00","1,00","-3,92","3,56","-3,54",,"14,18","17,62",,
20,Planar,10,10,6 / 20,"0,95","1,02","1,02e-01","1,00","1,00","1,00","-4,09","3,59","-3,97",,"14,18","17,61",,
20,Planar,10,10,7 / 20,"0,96","1,02","9,87e-02","1,00","1,00","1,00","-4,75","3,68","-4,42",,"14,19","17,57",,
20,Planar,10,10,8 / 20,"0,99","1,00","1,01e-01","1,00","1,00","1,00","-5,15","3,89","-4,87",,"14,23","17,57",,
20,Planar,10,10,9 / 20,"0,98","1,05","9,96e-02","1,00","1,00","1,00","-5,37","4,04","-5,15",,"14,23","17,55",,
20,Planar,10,10,10 / 20,"0,95","1,03","9,92e-02","1,00","1,00","1,00","-5,97","4,09","-5,61",,"14,24","17,51",,
20,Planar,10,10,11 / 20,"0,96","1,00","1,01e-01","1,00","1,00","1,00","-6,23","4,28","-5,87",,"14,23","17,50",,
20,Planar,10,10,12 / 20,"1,01","1,01","9,89e-02","1,00","1,00","1,00","-6,59","4,53","-6,32",,"14,26","17,49",,
20,Planar,10,10,13 / 20,"0,95","1,00","1,02e-01","1,00","1,00","1,00","-7,12","4,78","-6,82",,"14,26","17,49",,
20,Planar,10,10,14 / 20,"0,99","1,05","1,04e-01","1,00","1,00","1,00","-7,71","5,06","-7,2",,"14,29","17,51",,
20,Planar,10,10,15 / 20,"0,97","0,97","9,75e-02","1,00","1,00","1,00","-8,55","5,21","-8,05",,"14,35","17,54",,
20,Planar,10,10,16 / 20,"0,96","0,97","1,00e-01","1,00","1,00","1,00","-9,29","5,66","-8,62",,"14,37","17,58",,
20,Planar,10,10,17 / 20,"0,94","0,98","9,65e-02","1,00","1,00","1,00","-9,93","5,8","-9,1",,"14,38","17,57",,
20,Planar,10,10,18 / 20,"1,00","0,99","9,97e-02","1,00","1,00","1,00","-10,23","6,05","-9,45",,"14,39","17,60",,
20,Planar,10,10,19 / 20,"0,94","0,98","9,71e-02","1,00","1,00","1,00","-11,18","6,43","-10,18",,"14,43","17,62",,
20,Planar,10,10,FINAL,"0,94","0,97","9,74e-02","1,00","1,00","1,00","-11,96","6,62","-10,79","18,60","14,48","17,71","7,24","77,87"
20,Gradual,0,"2,5",INITIAL,"1,61","1,52","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,03","1,93","2,39",,
20,Gradual,0,"2,5",1 / 20,"0,95","1,09","5,59e-05","1,00","1,00","1,00","-0,09","0,87","-0,29",,"1,75","2,17",,
20,Gradual,0,"2,5",2 / 20,"0,89","1,07","5,34e-05","1,00","1,00","1,00","-0,35","0,99","-0,29",,"1,73","2,15",,
20,Gradual,0,"2,5",3 / 20,"0,88","1,07","4,49e-05","1,00","1,00","1,00","-0,29","1,03","-0,38",,"1,73","2,13",,
20,Gradual,0,"2,5",4 / 20,"0,85","1,05","4,65e-05","1,00","1,00","1,00","-0,39","1,08","-0,45",,"1,71","2,11",,
20,Gradual,0,"2,5",5 / 20,"0,82","1,01","4,77e-05","1,00","1,00","1,00","-0,49","1,1","-0,6",,"1,67","2,06",,
20,Gradual,0,"2,5",6 / 20,"0,80","0,99","5,03e-05","1,00","1,00","1,00","-0,59","1,1","-0,64",,"1,65","2,04",,
20,Gradual,0,"2,5",7 / 20,"0,79","0,97","5,27e-05","1,00","1,00","1,00","-0,59","1,09","-0,73",,"1,64","2,02",,
20,Gradual,0,"2,5",8 / 20,"0,83","1,00","3,94e-05","1,00","1,00","1,00","-0,65","1,06","-0,74",,"1,64","2,01",,
20,Gradual,0,"2,5",9 / 20,"0,83","1,00","3,88e-05","1,00","1,00","1,00","-0,72","1,05","-0,77",,"1,62","2,00",,
20,Gradual,0,"2,5",10 / 20,"0,84","1,00","3,65e-05","1,00","1,00","1,00","-0,72","1,03","-0,82",,"1,62","1,99",,
20,Gradual,0,"2,5",11 / 20,"0,80","0,96","4,53e-05","1,00","1,00","1,00","-0,81","1,01","-0,9",,"1,59","1,95",,
20,Gradual,0,"2,5",12 / 20,"0,72","0,86","6,25e-05","1,00","1,00","1,00","-1,23","0,79","-1,37",,"1,49","1,82",,
20,Gradual,0,"2,5",13 / 20,"0,72","0,85","6,38e-05","1,00","1,00","1,00","-1,28","0,77","-1,39",,"1,48","1,81",,
20,Gradual,0,"2,5",14 / 20,"0,64","0,74","8,73e-05","1,00","1,00","1,00","-1,73","0,5","-1,81",,"1,41","1,70",,
20,Gradual,0,"2,5",15 / 20,"0,65","0,75","8,53e-05","1,00","1,00","1,00","-1,74","0,48","-1,85",,"1,41","1,70",,
20,Gradual,0,"2,5",16 / 20,"0,65","0,75","8,54e-05","1,00","1,00","1,00","-1,77","0,47","-1,85",,"1,41","1,70",,
20,Gradual,0,"2,5",17 / 20,"0,66","0,76","8,47e-05","1,00","1,00","1,00","-1,78","0,45","-1,88",,"1,40","1,69",,
20,Gradual,0,"2,5",18 / 20,"0,66","0,75","8,60e-05","1,00","1,00","1,00","-1,81","0,44","-1,88",,"1,40","1,69",,
20,Gradual,0,"2,5",19 / 20,"0,64","0,74","9,10e-05","1,00","1,00","1,00","-1,88","0,39","-1,95",,"1,39","1,68",,
20,Gradual,0,"2,5",FINAL,"0,62","0,72","9,66e-05","1,00","1,00","1,00","-1,93","0,36","-2,01","3,03","1,39","1,67","28,04","45,76"
20,Gradual,"2,5","2,5",INITIAL,"2,38","2,34","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,21","3,97","4,70",,
20,Gradual,"2,5","2,5",1 / 20,"0,96","1,02","2,90e-03","1,00","1,00","1,00","-0,54","1,47","-0,73",,"3,56","4,36",,
20,Gradual,"2,5","2,5",2 / 20,"0,90","0,96","3,26e-03","1,00","1,00","1,00","-0,99","1,44","-1,21",,"3,54","4,33",,
20,Gradual,"2,5","2,5",3 / 20,"0,89","0,94","3,33e-03","1,00","1,00","1,00","-1,42","1,32","-1,53",,"3,53","4,31",,
20,Gradual,"2,5","2,5",4 / 20,"0,87","0,91","3,44e-03","1,00","1,00","1,00","-1,73","1,22","-1,76",,"3,52","4,30",,
20,Gradual,"2,5","2,5",5 / 20,"0,87","0,92","3,38e-03","1,00","1,00","1,00","-1,99","1,11","-1,93",,"3,52","4,29",,
20,Gradual,"2,5","2,5",6 / 20,"0,85","0,89","3,50e-03","1,00","1,00","1,00","-2,56","0,86","-2,23",,"3,52","4,28",,
20,Gradual,"2,5","2,5",7 / 20,"0,89","0,92","3,30e-03","1,00","1,00","1,00","-2,7","0,79","-2,28",,"3,53","4,28",,
20,Gradual,"2,5","2,5",8 / 20,"0,95","0,98","2,93e-03","1,00","1,00","1,00","-2,84","0,72","-2,33",,"3,54","4,29",,
20,Gradual,"2,5","2,5",9 / 20,"0,81","0,84","3,78e-03","1,00","1,00","1,00","-3,15","0,6","-2,43",,"3,52","4,27",,
20,Gradual,"2,5","2,5",10 / 20,"0,84","0,87","3,57e-03","1,00","1,00","1,00","-3,21","0,53","-2,47",,"3,53","4,27",,
20,Gradual,"2,5","2,5",11 / 20,"0,91","0,94","3,19e-03","1,00","1,00","1,00","-3,37","0,45","-2,51",,"3,54","4,28",,
20,Gradual,"2,5","2,5",12 / 20,"0,90","0,93","3,21e-03","1,00","1,00","1,00","-3,53","0,37","-2,55",,"3,54","4,28",,
20,Gradual,"2,5","2,5",13 / 20,"0,90","0,93","3,22e-03","1,00","1,00","1,00","-3,7","0,31","-2,57",,"3,54","4,28",,
20,Gradual,"2,5","2,5",14 / 20,"0,88","0,90","3,37e-03","1,00","1,00","1,00","-3,84","0,21","-2,62",,"3,54","4,27",,
20,Gradual,"2,5","2,5",15 / 20,"0,88","0,90","3,36e-03","1,00","1,00","1,00","-4,01","0,14","-2,64",,"3,54","4,27",,
20,Gradual,"2,5","2,5",16 / 20,"0,87","0,90","3,40e-03","1,00","1,00","1,00","-4,08","0,08","-2,66",,"3,54","4,27",,
20,Gradual,"2,5","2,5",17 / 20,"0,87","0,90","3,42e-03","1,00","1,00","1,00","-4,41","-0,09","-2,71",,"3,54","4,26",,
20,Gradual,"2,5","2,5",18 / 20,"0,87","0,89","3,47e-03","1,00","1,00","1,00","-4,67","-0,25","-2,73",,"3,54","4,26",,
20,Gradual,"2,5","2,5",19 / 20,"0,90","0,92","3,26e-03","1,00","1,00","1,00","-4,77","-0,33","-2,77",,"3,54","4,26",,
20,Gradual,"2,5","2,5",FINAL,"0,86","0,88","3,53e-03","1,00","1,00","1,00","-4,91","-0,38","-2,77","5,21","3,53","4,25","11,04","67,84"
20,Gradual,0,10,INITIAL,"5,42","5,07","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,66","5,81","6,87",,
20,Gradual,0,10,1 / 20,"0,99","1,10","1,66e-03","1,00","1,00","1,00","-1,75","5,73","-1,84",,"4,62","5,47",,
20,Gradual,0,10,2 / 20,"0,91","1,00","1,79e-03","1,00","1,00","1,00","-1,5","5,68","-2,58",,"4,43","5,28",,
